ID,Name,X,Y,Z
p1,1,130,600,0
p2,2,2190,1610,0
p3,3,2140,1920,0
p4,4,1480,2790,0
p5,5,1310,4990,0
p6,6,4230,2810,0
p7,7,5320,2960,0
p8,8,5610,2780,0
p9,9,5790,1870,0
p10,10,6150,1330,0
p11,11,6160,550,0
p12,12,5890,4080,0
p13,13,6540,4790,0
p14,14,7230,5600,0
p15,15,5770,6230,0
p16,16,4280,6130,0
p17,17,2440,5180,0
p18,18,1990,6620,0
p19,19,2990,7140,0
p20,20,3460,9070,0
p21,21,8050,6240,0
p22,22,7480,8290,0
p23,23,2820,7790,0
p24,24,2630,9250,0
p25,25,6680,6620,0
p26,26,7560,6080,0
